example_id,conversation_id,customer_message,support_reply,intent,escalation,escalation_reason_,predicted_intent,intent_source,predicted_escalation,escalation_source,intent_correct,escalation_correct,failure_type
191,40d1f767e44da9005040075e083c578c,did you guys change up your boarding passes? Have ktn # but precheck isn't on my boarding pass for my flight # 469 tomorrow,We haven't. Can you send us a DM with your confirmation code and KTN? We can take a look.  https://t.co/xSmyP7Lfyg,boarding_airport,human,Boarding-pass TSA PreCheck issue requires investigation,boarding_airport,rule,auto,ml,True,False,escalation_error
165,bec435523b0c4de19696349691fe8695,I think it's time for a refurb! Seats are gross... https://t.co/GQmhBc984U,We don't like seeing that. Please speak with an inflight crewmember to see if there is another seat available. When you get a moment please let us know your flight number.,inflight_services,human,Poor seat condition requires service attention,booking,ml,human,ml,False,True,intent_error
94,78dfd3365c03d54b246f766663fa4b18,"Tried to book a flight but the website kept giving an error after certain pages. After several attempts, my travel bank is at $0 and I have an unticketed reservation, but no charges on credit card. Helllppp",Get an automatic 20% off base airfareâ€”plus extra hotel savingsâ€”when you book air + hotel together by 11/15. + Restr https://t.co/eaymYNYZl5 https://t.co/rRW3w73PJo,booking,human,Website booking failure created an unticketed reservation and affected Travel Bank,travel_credit,rule,human,ml,False,True,intent_error
15,0b70666bf5a1bd7e85a04832cd675d8b,"think I should cancel my card. Terrible auto menu, long hold, bad resolution. I can open 2nd CC but u can't override auto upgrade?",Please send us your conf code and details of your request here:  https://t.co/xSmyP7Lfyg,other,human,Credit-card/customer-service issue requires investigation,booking,ml,human,ml,False,True,intent_error
38,2a5c107373f160a7bb1901a17601087a,what time do you staff the desk at mccarran?,The ticket counter hours are generally open from 6:40 a.m. - 12:00 a.m. Are you referring to the ticket counter or your gate?,boarding_airport,auto,General question about airport ticket-counter hours,other,ml,auto,ml,False,True,intent_error
118,f25a020e56f66a06c3c0faa108357da9,Can you message me I need you like now @JetBlue ðŸ˜©,Hi Anna! Tell us how we can help here:  https://t.co/xSmyP7Lfyg,other,human,Customer requests immediate assistance but does not specify the issue,booking,ml,human,ml,False,True,intent_error
172,785d7c335305d6aaec65227ef0177dcb,Frustrated that if I need to change a trip to Puerto Rico (which is obviously lacking the infrastructure for vacations) I can only use credit for a travel package and not towards JetBlue airfare! Won't use JetBlue vacation packages again!,"Hi, Lexi. We're sorry for the frustrating experience. Vacation packages have different rules and guidelines. Please reach out to our Vacations team if you need any assistance.",travel_credit,human,Complaint about restrictions on using travel credit,other,ml,auto,ml,False,False,intent_and_escalation_error
195,59648d652fad22ac8bf171feba88c928,#ontimedeparture #jetblue #cantbelievehes13 #teenager #directflight #nycbound ðŸ—½ @ Jacksonvilleâ€¦ https://t.co/5N4zOGpOrL,"Look at that cute family! :) Thanks for flying with us, Jay et al. Have a great time in the Big Apple! ðŸŽ",flight_status,auto,Positive comment about an on-time direct flight,other,ml,auto,ml,False,True,intent_error
16,29e627edc104b2cb116e5c257fd6202d,"who do I complain to regarding this new ""take every camera out of ur bag"" rule at the airport? What about if it's my job 2 have 5 cameras?",TSA oversees security. Here is a link with info on how to reach them: https://t.co/qujcSXQGnT,boarding_airport,human,Airport security complaint requires human attention,baggage,rule,human,ml,False,True,intent_error
140,29a98bea5e8f8a38a9e010177129bb5e,"Hey @JetBlue, if I'm logged in, the front page of your site has a ""check in"" link that asks me for my info all over again. Why?","To clarify, are you on the website or the app?",account_app,auto,General question about website check-in behavior,inflight_services,ml,auto,ml,False,True,intent_error
138,a32362d214bf73c2f0432b2d6ade73d1,status for flight 238 out of MCO???,Flight 238 has been delayed due to security issues in the airport. Your current EDT is 10 tonight but you'll want to keep an eye on it.,flight_status,auto,Request for the current status of a specific flight,inflight_services,ml,auto,ml,False,True,intent_error
176,a2ad1cd5041b8113aa5b8133e01eb714,#JetBlue Lost my phone. Staff is not at all supportive. I'm in trouble. Please help.,Did you lose your phone on the aircraft? Please fill out a lost and found report and we'll be in touch if it turns up. https://t.co/A6EzSgQPxv,baggage,human,Lost personal item requires investigation,other,ml,human,ml,False,True,intent_error
198,d1e136e033c996b4adbedfb120b421d4,@JetBlue @VirginAmerica do you guys know anything about this #ViewsUnlimited?? My dad got this in the mail and heâ€™s never even been on a plane. https://t.co/NgRsuAysbA,@SouthwestAir @VirginAmerica It's not from us. Sorry we don't have any additional information!,other,human,Suspicious unsolicited communication requires investigation,flight_status,ml,human,ml,False,True,intent_error
186,5c22804f6c01f4718d555c4aa093254e,fuck your corporation and that racist cracker you hired as a supervisor at the FLL airport!,We'd like to take a look into it.,other,human,Serious complaint about airport staff,boarding_airport,rule,human,ml,False,True,intent_error
173,8b2481d2f9e7bdca31e82627f7c1e7c5,whatâ€™s going on with the canceled flights from #Aguadilla #BQN ?  Is there problems with the airport??? Canâ€™t seem to find more information about the cancellation.,Hi Joannie. There are still some operational limitations that we're working around. Have you been rebooked?,cancellation,auto,Asking why flights from an airport are cancelled,boarding_airport,rule,auto,ml,False,True,intent_error
141,2e32c93583654a6a8649890c58b11af5,I want the $ back I paid for Even More.i was made to wait until Group https://t.co/MFjydmYf0M clearly donâ€™t care about people with document to disabilities,"Hi, Ashlie. Sorry to hear that. Send us your confirmation code via DM and we'll take a look.",refund,human,Customer requests a refund for a paid service and reports disability-related boarding issue,other,ml,human,ml,False,True,intent_error
151,16ae5b94d47615e5c30a940a002df2d1,"whatâ€™s up with no flights to TPA from SJU? Family coming on the 17th, now I have to drive 3 1/2 hours to FLL, to pick them up vs 1 hour to TPA. We are happy to get them out!",Flights are still somewhat limited in Puerto Rico. We've had to make some changes to sustain overall operations.,booking,auto,Question about availability of a route,flight_delay,ml,auto,ml,False,True,intent_error
