example_id,conversation_id,customer_message,support_reply,intent,escalation,escalation_reason_,predicted_intent,intent_source,predicted_escalation,escalation_source
1,64b2e1ab2cefdf394103e45e44abdfff,So much for that quality flight service @JetBlue standing in line because of a jet issue and missed connecting. Only 5 people working helpd,"We're sorry to hear you're disappointed, and that you've missed your connecting flight. Have you been rebooked?",flight_delay,human,Missed connection and flight disruption require assistance,flight_delay,ml,human,ml
2,cc2c4c1c38b2c6ce4505644ff315d032,#JetBlue looking for help for my cousin traveling to PR with over 300 pounds of toy &amp; school supplies to donate without it costing too much,"Hi Mandy. While we may be able to help with a couple of checked bags, large donations should be made to organizations that are transporting cargo goods.",other,human,Unusual cargo/donation request requires human assistance,other,ml,human,ml
3,56d678482f84aaaaff3dce9d0e6363b1,what was the reasoning behind switching from boarding by rows to boarding by groups? This is a mess.,"Thanks for the feedback, and we apologize for your frustration. We've changed our boarding process to help customers throughout the... 1/2",boarding_airport,auto,General question about boarding policy,boarding_airport,rule,auto,ml
4,663fa741dcc35a86d1f5acccf789e161,do you guys have direct flights from Oakland to New York? For tomorrow,We do still have seats available for purchase on JetBlue Flight #168 that departs OAK at 1:12 PM.   That is a nonstop flight. We do offer a connection through LGB that departs at 8:51 AM with a 4 h 53m layover.,booking,auto,General flight availability question,booking,ml,auto,ml
5,da1d78bedb8b0649d891c7f5c3291588,any word on flt566?,We regret the delay. We are working to get you on your way as quickly as possible. This flight will receive compensation.,flight_status,auto,Asking for the status of a specific flight,flight_status,ml,human,ml
6,546c272cd7a38be4c9d8e33baccce396,is there any way to tell if my flight will have power outlets at all seats? Or all they on all flights/routes now? ðŸ˜ƒ,Hi Shari! Not all of our flights have been fully updated with outlets yet. Once you're onboard you'll know ðŸ˜Š,inflight_services,auto,General question about onboard power outlets,inflight_services,ml,auto,ml
7,050da43927b3d89fe71a81dc3bf4695a,Sitting on two-hour flight to NYC with no in-flight entertainment. Not a good look @JetBlue #badservice,"We're sorry to hear that, Chad! Is it just your TV that's out or is it all of them on this flight?",inflight_services,human,Complaint about unavailable entertainment during flight,inflight_services,ml,human,ml
8,8edd8084f54acea7159dc07db803a856,already mess up my flight. Leaving me stranded in state of emergency Puerto Rico and changed the flight without notifying me...,"Sorry to hear this, Alton. Please give us a call at 1-800-JETBLUE (538-2583) if you need assistance rebooking.",cancellation,human,Flight change/cancellation left customer stranded,cancellation,ml,human,rule
9,accc5fd7e93035539ed2e22241f7b9c3,That feeling when you're basically 3K points from MOsaic on @JetBlue and you aggressively check to see if your recent flights have posted to your account . https://t.co/rmj3vrAjn7,"Points you have just earned can take up to 14 days to post to your account. IF you are missing points,  when signed in to your TrueBlue account, click the Request missing points link. You are able to request points for a flight you completed within 12 months of that flight. ðŸ˜˜",loyalty_rewards,auto,General TrueBlue/Mosaic points question,loyalty_rewards,rule,auto,ml
10,8d20163a524fad20a456781091d54903,SHOUT OUT TO CHANEL AT @JetBlue UR THE BEST,We'd love to pass this on to the right person.... Can you tell us more? Which airport/flight? Have a reservation code? Use the link to send us details ~ we'll get it passed on to the right team.  https://t.co/xSmyP7Lfyg,other,auto,Positive customer feedback,other,ml,auto,ml
11,e1746aaff967821aebf6979659a6203b,"Hey @JetBlue, my screen didn't work today on my flight from JFK to LAX. A long flight w/ no entertainment which was a bummer",Oh no! Please DM your six-letter confirmation code and we can send you a little something for the inconvenience.,inflight_services,human,In-flight entertainment system failure,inflight_services,ml,human,ml
12,950d68c262fc0a3337dfa267d5134e1c,"no communication what so ever from crew as far as why we are still at gate B6-1536 sti-jfk. Poor service #disappointed, almost one hr at plane and no communication","Sorry to hear it, Agrelis. We know it's frustrating to wait. We will pass along your feedback.",flight_delay,human,Flight is delayed with poor communication,flight_delay,ml,human,ml
13,e3bf6310787849f3fae458fbd5dc0b58,#jetblue i enjoyed flight #190 from san to jfk. the food was awesome. you need to add the same food from bos to san.  its just As long as a flight if not longer.,We're glad to hear you enjoyed the flight. Thanks for the feedback.,inflight_services,auto,General feedback/question about food,inflight_services,ml,auto,ml
