example_id,customer_message,predicted_intent,agent_response,human_relevance,human_helpfulness,human_grounding,human_safety,human_overall,human_reason
191,did you guys change up your boarding passes? Have ktn # but precheck isn't on my boarding pass for my flight # 469 tomorrow,boarding_airport,Please check your flight information for the recommended airport arrival and boarding time.,,,,,,
135,when will the rest of June 2018 flights be released?,booking,I can help with general booking information. Please provide the relevant booking details if further assistance is needed.,,,,,,
143,is the @162833 game blacked out on today's flights?,inflight_services,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.,,,,,,
154,you did it again...customer first....customer happy....customer for life! Thank you. #awesomesauce,other,Thanks for contacting support. A support agent can assist with your request.,,,,,,
165,I think it's time for a refurb! Seats are gross... https://t.co/GQmhBc984U,booking,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.,,,,,,
94,"Tried to book a flight but the website kept giving an error after certain pages. After several attempts, my travel bank is at $0 and I have an unticketed reservation, but no charges on credit card. Helllppp",travel_credit,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.,,,,,,
189,any engine problems going on with flight 877?,flight_status,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.,,,,,,
61,Every. Single. @JetBlue. Flight. From. DCA. Is. Always. Delayed. #ðŸ˜¡,flight_delay,I'm sorry for the delay. Please check the latest flight status for the most up-to-date information.,,,,,,
15,"think I should cancel my card. Terrible auto menu, long hold, bad resolution. I can open 2nd CC but u can't override auto upgrade?",booking,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.,,,,,,
65,HIGHLY upset with @JetBlue this is bananas! 3rd time on two different occasions that this has happened!,other,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.,,,,,,
