example_id,conversation_id,customer_message,support_reply,intent,escalation,escalation_reason_,predicted_intent,intent_source,predicted_escalation,escalation_source
191,40d1f767e44da9005040075e083c578c,did you guys change up your boarding passes? Have ktn # but precheck isn't on my boarding pass for my flight # 469 tomorrow,We haven't. Can you send us a DM with your confirmation code and KTN? We can take a look.  https://t.co/xSmyP7Lfyg,boarding_airport,human,Boarding-pass TSA PreCheck issue requires investigation,boarding_airport,rule,auto,ml
135,fab77623e455a0ee4aeedb93218d9075,when will the rest of June 2018 flights be released?,"We haven't been given an update yet, but we'll keep you posted!",booking,auto,Asking when future flights will be released for booking,booking,ml,auto,ml
143,063f9d8a2627bd61a5ff6485b8c06570,is the @162833 game blacked out on today's flights?,"@162833 Hi, Robin. We're not aware of any games been blacked out. If it's aired on one of our channels, you should be able to watch it.",inflight_services,auto,General question about inflight entertainment availability,inflight_services,ml,auto,ml
154,24ca7e56b99ca94f55b69f1fd70b3d03,you did it again...customer first....customer happy....customer for life! Thank you. #awesomesauce,We're glad to hear you got the assistance you needed!,other,auto,Positive customer feedback,other,rule,auto,ml
165,bec435523b0c4de19696349691fe8695,I think it's time for a refurb! Seats are gross... https://t.co/GQmhBc984U,We don't like seeing that. Please speak with an inflight crewmember to see if there is another seat available. When you get a moment please let us know your flight number.,inflight_services,human,Poor seat condition requires service attention,booking,ml,human,ml
94,78dfd3365c03d54b246f766663fa4b18,"Tried to book a flight but the website kept giving an error after certain pages. After several attempts, my travel bank is at $0 and I have an unticketed reservation, but no charges on credit card. Helllppp",Get an automatic 20% off base airfareâ€”plus extra hotel savingsâ€”when you book air + hotel together by 11/15. + Restr https://t.co/eaymYNYZl5 https://t.co/rRW3w73PJo,booking,human,Website booking failure created an unticketed reservation and affected Travel Bank,travel_credit,rule,human,ml
189,344df2ecce0149b26dc8286f0c637dcb,any engine problems going on with flight 877?,On our end we see that there is a maintenance issue. We're sorry for the wait!,flight_status,auto,Asking about possible engine problems on a specific flight,flight_status,ml,auto,ml
61,59a6e725c85905c851f483af47a52d61,Every. Single. @JetBlue. Flight. From. DCA. Is. Always. Delayed. #ðŸ˜¡,"We're sorry to hear about the inconvenience, Tom. Is there a specific flight number we can check on for you?",flight_delay,auto,General complaint about repeated flight delay,flight_delay,rule,auto,ml
15,0b70666bf5a1bd7e85a04832cd675d8b,"think I should cancel my card. Terrible auto menu, long hold, bad resolution. I can open 2nd CC but u can't override auto upgrade?",Please send us your conf code and details of your request here:  https://t.co/xSmyP7Lfyg,other,human,Credit-card/customer-service issue requires investigation,booking,ml,human,ml
65,20345177f71e3f851b9efd2af1b9d0a1,HIGHLY upset with @JetBlue this is bananas! 3rd time on two different occasions that this has happened!,"We don't like to hear that, Sierra! What's going on?",other,human,Repeated unresolved complaint with insufficient details,other,ml,human,ml
84,cd3a011ee5a30b07dd427c0ec422364a,Well it's starting to look like the reason I can't find my webcam is because it and my nice camera was stolen from my checked bag.  So much for @JetBlue and @157133 :(,@157133 We're sorry to hear that! Have you been able to file a claim for the missing item?,baggage,human,Valuable items allegedly stolen from checked baggage,baggage,rule,human,ml
38,2a5c107373f160a7bb1901a17601087a,what time do you staff the desk at mccarran?,The ticket counter hours are generally open from 6:40 a.m. - 12:00 a.m. Are you referring to the ticket counter or your gate?,boarding_airport,auto,General question about airport ticket-counter hours,other,ml,auto,ml
104,11508c64e19094d3904bfea41f901ff6,Thanks @JetBlue for making my mom cry for an entire 3 hour flight. Worst service ever.,We're so sorry to hear that. Please send us more information in a direct message.  https://t.co/xSmyP7Lfyg,other,human,Serious service complaint requires human attention,other,ml,human,ml
118,f25a020e56f66a06c3c0faa108357da9,Can you message me I need you like now @JetBlue ðŸ˜©,Hi Anna! Tell us how we can help here:  https://t.co/xSmyP7Lfyg,other,human,Customer requests immediate assistance but does not specify the issue,booking,ml,human,ml
172,785d7c335305d6aaec65227ef0177dcb,Frustrated that if I need to change a trip to Puerto Rico (which is obviously lacking the infrastructure for vacations) I can only use credit for a travel package and not towards JetBlue airfare! Won't use JetBlue vacation packages again!,"Hi, Lexi. We're sorry for the frustrating experience. Vacation packages have different rules and guidelines. Please reach out to our Vacations team if you need any assistance.",travel_credit,human,Complaint about restrictions on using travel credit,other,ml,auto,ml
105,12c3171432eb3431abae3279b4ca729b,why is flight 2601 delayed ? Will it get out ?,...you in the air! 2/2,flight_delay,auto,Asking about the cause and expected outcome of a flight delay,flight_delay,rule,auto,ml
41,579c742a788aa840210e5173bb3645bb,Love you @JetBlue but when if I am booking a last-minute flight you should inform me *before purchase* that the flight is delayed/cancelled.,Thanks for the feedback on this!,flight_delay,human,Customer wants assistance after being affected by a delayed or cancelled last-minute flight,flight_delay,rule,human,ml
102,529ffd171d9efca5a39cd79ddbc44884,Please do flights to CLE,Princess! Your wish is our command. We do offer a handful of flights to CLE and we're hopeful more will be added in the future. You can check out our routes here:  https://t.co/PrfjygEmUd,booking,auto,General request for service to a destination,booking,ml,auto,ml
195,59648d652fad22ac8bf171feba88c928,#ontimedeparture #jetblue #cantbelievehes13 #teenager #directflight #nycbound ðŸ—½ @ Jacksonvilleâ€¦ https://t.co/5N4zOGpOrL,"Look at that cute family! :) Thanks for flying with us, Jay et al. Have a great time in the Big Apple! ðŸŽ",flight_status,auto,Positive comment about an on-time direct flight,other,ml,auto,ml
114,b90b948d0e863a00e4235b66ec155b7f,What a time management @JetBlue waiting on jfk for last 12 hours and flight keep on delaying,We now it's frustrating to wait through flight delays. We are working hard to get everyone on their way as quickly as possible.,flight_delay,human,Extended repeated delays require flight-specific assistance,flight_delay,rule,human,ml
185,6de78c085c44a2a5549f4c67ff0f791d,"1012 from ORD, plane delayed 1+ hr on the runway, now told to deplane. Virtually no other details, other than â€œsee the gate agent.â€ Here is the line to â€œsee the gate agent.â€ How about some basic info/customer service? Weâ€™ve all got nothing but time now, apparently... https://t.co/XGFKDWEG7j",Looks like that's a maintenance and deicing delay. We'll have you safely on your way as soon as possible! -Whit,flight_delay,human,Extended delay and lack of information require assistance,flight_delay,rule,human,ml
16,29e627edc104b2cb116e5c257fd6202d,"who do I complain to regarding this new ""take every camera out of ur bag"" rule at the airport? What about if it's my job 2 have 5 cameras?",TSA oversees security. Here is a link with info on how to reach them: https://t.co/qujcSXQGnT,boarding_airport,human,Airport security complaint requires human attention,baggage,rule,human,ml
140,29a98bea5e8f8a38a9e010177129bb5e,"Hey @JetBlue, if I'm logged in, the front page of your site has a ""check in"" link that asks me for my info all over again. Why?","To clarify, are you on the website or the app?",account_app,auto,General question about website check-in behavior,inflight_services,ml,auto,ml
138,a32362d214bf73c2f0432b2d6ade73d1,status for flight 238 out of MCO???,Flight 238 has been delayed due to security issues in the airport. Your current EDT is 10 tonight but you'll want to keep an eye on it.,flight_status,auto,Request for the current status of a specific flight,inflight_services,ml,auto,ml
146,12787ad289b301abaf296da5da60d4ed,When i get treated as i deserved i need to let the world know. Thank you @JetBlue #jetblue the agent was great. ðŸ‘ðŸ½ðŸ‘ðŸ½ðŸ‘ðŸ½ https://t.co/BgGI276h9g,We love hearing this and we're pretty sure the agent that helped you will too.,other,auto,Positive feedback about a JetBlue employee,other,rule,auto,ml
176,a2ad1cd5041b8113aa5b8133e01eb714,#JetBlue Lost my phone. Staff is not at all supportive. I'm in trouble. Please help.,Did you lose your phone on the aircraft? Please fill out a lost and found report and we'll be in touch if it turns up. https://t.co/A6EzSgQPxv,baggage,human,Lost personal item requires investigation,other,ml,human,ml
198,d1e136e033c996b4adbedfb120b421d4,@JetBlue @VirginAmerica do you guys know anything about this #ViewsUnlimited?? My dad got this in the mail and heâ€™s never even been on a plane. https://t.co/NgRsuAysbA,@SouthwestAir @VirginAmerica It's not from us. Sorry we don't have any additional information!,other,human,Suspicious unsolicited communication requires investigation,flight_status,ml,human,ml
106,c425a4c64159c188219f299ad9eec697,"Hey, @JetBlue whatâ€™s with the boarding groups? I liked you better when you boarded by seat number on the plane. Whatâ€™s going on?",Our new group boarding process will have you on your way even faster and easier! You can learn more here https://t.co/X41AJxdACk. ðŸ˜Š,boarding_airport,auto,General question about the group boarding process,boarding_airport,rule,auto,ml
186,5c22804f6c01f4718d555c4aa093254e,fuck your corporation and that racist cracker you hired as a supervisor at the FLL airport!,We'd like to take a look into it.,other,human,Serious complaint about airport staff,boarding_airport,rule,human,ml
72,8285b72d9dc82e895fe220b8d8c2850e,"Hey @JetBlue, I just booked a one way flight 48 hours ago on points. The flight is now 2200 points cheaper. Does the 14 day fare price guarantee apply to points travel?","Yep, it does, Dan! You can go ahead and give us a call at 1-800-JETBLUE and our crew will be happy to take care of you.",loyalty_rewards,human,Points booking fare guarantee requires account-specific assistance,loyalty_rewards,ml,human,ml
173,8b2481d2f9e7bdca31e82627f7c1e7c5,whatâ€™s going on with the canceled flights from #Aguadilla #BQN ?  Is there problems with the airport??? Canâ€™t seem to find more information about the cancellation.,Hi Joannie. There are still some operational limitations that we're working around. Have you been rebooked?,cancellation,auto,Asking why flights from an airport are cancelled,boarding_airport,rule,auto,ml
11,e1746aaff967821aebf6979659a6203b,"Hey @JetBlue, my screen didn't work today on my flight from JFK to LAX. A long flight w/ no entertainment which was a bummer",Oh no! Please DM your six-letter confirmation code and we can send you a little something for the inconvenience.,inflight_services,human,In-flight entertainment system failure,inflight_services,ml,human,ml
29,30ff9b4c7ea5004263b484804caffdea,"Hey, @JetBlue: What are the October inflight movies? #BeenCheckingEveryDay #TooExcited","...Southbound and Eastbound flights will show Spider-Man: Homecoming, Despicable Me 3 and The Big Sick. 2/2",inflight_services,auto,General question about inflight movies,inflight_services,ml,auto,ml
141,2e32c93583654a6a8649890c58b11af5,I want the $ back I paid for Even More.i was made to wait until Group https://t.co/MFjydmYf0M clearly donâ€™t care about people with document to disabilities,"Hi, Ashlie. Sorry to hear that. Send us your confirmation code via DM and we'll take a look.",refund,human,Customer requests a refund for a paid service and reports disability-related boarding issue,other,ml,human,ml
78,dc94167371e1e0b652e852e1054bf2c5,"I have the jetblue plus credit card but don't see the badge for it in my trueblue account, how do I get it?",Hi there! Have you tried adjusting the Settings and Rules tab located under the Badge tab on the left side of the page?,loyalty_rewards,auto,Question about JetBlue Plus card benefits in TrueBlue,loyalty_rewards,rule,auto,ml
151,16ae5b94d47615e5c30a940a002df2d1,"whatâ€™s up with no flights to TPA from SJU? Family coming on the 17th, now I have to drive 3 1/2 hours to FLL, to pick them up vs 1 hour to TPA. We are happy to get them out!",Flights are still somewhat limited in Puerto Rico. We've had to make some changes to sustain overall operations.,booking,auto,Question about availability of a route,flight_delay,ml,auto,ml
192,18fb2418d12f6b0018e2f4f434ba9403,thank you so much for the amazing flight and service today â¤ï¸,Thank YOU for flying with us. ðŸ’™,other,auto,Positive feedback about flight and service,other,rule,auto,ml
24,a5a210986b0bb36bcdc7a96f04de0071,REALLLY LOVED @JetBlue until today. Iï¸ could have drove to Vegas for as long as my flight has been delayed,We know flight delays are frustrating. What flight are you waiting on?,flight_delay,human,Significant flight delay complaint requires assistance,flight_delay,rule,human,ml
126,95322c02ae4578da85d8a460732e1940,I would be sitting in a @JetBlue seat with a busted tv monitor - delayed flight now this #justmyluck,"We know that's frustrating, especially after a delay. Please reach out to an inflight crewmember to see if they can reseat you. If not, let us know and we can issue you a $15 credit for the inconvenience.",inflight_services,human,Broken inflight entertainment system with possible compensation,inflight_services,rule,human,ml
123,4d915c58588528e418fe54760435ec32,No location for Baggage Service Office â€” the wrong zipper pull disappeared! (@ DCA Jet Blue Baggage Claim) https://t.co/nasDwTv9lT,Our baggage claim is located in Terminal B at Carousels 5 and 6 at DCA.,baggage,auto,Asking for the location of the baggage service office,baggage,rule,auto,ml
