example_id,customer_message,intent,intent_confidence,intent_source,escalation,escalation_confidence,escalation_source,similarity,decision,reason,response
1,So much for that quality flight service @JetBlue standing in line because of a jet issue and missed connecting. Only 5 people working helpd,flight_delay,0.3771462782193414,ml,human,0.6060430053015724,ml,0.9999999999999993,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
2,#JetBlue looking for help for my cousin traveling to PR with over 300 pounds of toy &amp; school supplies to donate without it costing too much,other,0.37361094646077486,ml,human,0.6038789513133126,ml,0.9999999999999996,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
3,what was the reasoning behind switching from boarding by rows to boarding by groups? This is a mess.,boarding_airport,1.0,rule,auto,0.6023091207154672,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,Please check your flight information for the recommended airport arrival and boarding time.
4,do you guys have direct flights from Oakland to New York? For tomorrow,booking,0.4530218632217253,ml,auto,0.5206789509149384,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,I can help with general booking information. Please provide the relevant booking details if further assistance is needed.
5,any word on flt566?,flight_status,0.5661153886092408,ml,human,0.5050133389690895,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
6,is there any way to tell if my flight will have power outlets at all seats? Or all they on all flights/routes now? ðŸ˜ƒ,inflight_services,0.424699353014033,ml,auto,0.6057233473624495,ml,1.0000000000000002,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,In-flight services can vary by aircraft and route. Please check the available services for your flight.
7,Sitting on two-hour flight to NYC with no in-flight entertainment. Not a good look @JetBlue #badservice,inflight_services,0.4466256984045127,ml,human,0.6343556765916827,ml,1.0000000000000002,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
8,already mess up my flight. Leaving me stranded in state of emergency Puerto Rico and changed the flight without notifying me...,cancellation,0.6361538570050475,ml,human,1.0,rule,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
9,That feeling when you're basically 3K points from MOsaic on @JetBlue and you aggressively check to see if your recent flights have posted to your account . https://t.co/rmj3vrAjn7,loyalty_rewards,1.0,rule,auto,0.6097087266847925,ml,1.0000000000000007,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,You can earn and use loyalty points according to the airline's loyalty program rules.
10,SHOUT OUT TO CHANEL AT @JetBlue UR THE BEST,other,0.4049706935137629,ml,auto,0.621502652684858,ml,1.0,auto,General feedback can be handled automatically.,Thanks for contacting support. A support agent can assist with your request.
11,"Hey @JetBlue, my screen didn't work today on my flight from JFK to LAX. A long flight w/ no entertainment which was a bummer",inflight_services,0.24038880360027748,ml,human,0.5719479573372126,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
12,"no communication what so ever from crew as far as why we are still at gate B6-1536 sti-jfk. Poor service #disappointed, almost one hr at plane and no communication",flight_delay,0.39502640801910427,ml,human,0.6145870280545666,ml,1.0000000000000004,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
13,#jetblue i enjoyed flight #190 from san to jfk. the food was awesome. you need to add the same food from bos to san.  its just As long as a flight if not longer.,inflight_services,0.3844186224305886,ml,auto,0.5804749066231278,ml,1.0,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
14,"In a world full of ðŸš® airlines, @JetBlue...you are â¤ï¸â¤ï¸â¤ï¸ #CustomerService https://t.co/h7LoVupbaD",other,0.495066427868647,ml,auto,0.6253894407759788,ml,1.0,auto,General feedback can be handled automatically.,Thanks for contacting support. A support agent can assist with your request.
15,"think I should cancel my card. Terrible auto menu, long hold, bad resolution. I can open 2nd CC but u can't override auto upgrade?",booking,0.13889102729640984,ml,human,0.5240592808682991,ml,0.1949657454803911,human_review,Intent confidence is below the safety threshold.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
16,"who do I complain to regarding this new ""take every camera out of ur bag"" rule at the airport? What about if it's my job 2 have 5 cameras?",baggage,1.0,rule,human,0.5028876764936583,ml,0.2507912271829591,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
17,"Dear @JetBlue Iï¸ understand delayed flights, but what are going to do about my current #hangry situation now that Iï¸ missed Thanksgiving dinner ðŸ˜’",flight_delay,1.0,rule,human,0.5720263150113758,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
18,"Why does my seat assignment show ""You may not pre-reserve a seat at this time. Please obtain your seat assignment at the airport upon check-in.""?  I have two legs on this PNR, return leg allows me to select a seat just fine.",boarding_airport,1.0,rule,human,0.6050187474153527,ml,0.1595541370767095,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
19,I think I screw up in one of my bookings ðŸ™. Can you help me??,booking,0.4426098255999731,ml,human,0.6097011918172192,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
20,Looking for more info on your inflight wifi specs. Any help??,inflight_services,1.0,rule,auto,0.5960193355959269,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,In-flight services can vary by aircraft and route. Please check the available services for your flight.
21,when will the next booking window be extended for summer flights?,booking,0.4937863959490195,ml,auto,0.6209181071780527,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,I can help with general booking information. Please provide the relevant booking details if further assistance is needed.
22,"on flight 623 from JFK to LAX, no tv, no map channel ( nervous flyer;) &amp; spotty internet. Love you but! What can you do for us?",inflight_services,1.0,rule,human,0.5535307321968495,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
23,"Hey @JetBlue, I'm about 30 minutes from boarding your DCA to Orlando flight. Can I get an upgrade to a more room seat? Before you ask, i have no justification for this, but you can't get a yes without asking, right?",boarding_airport,1.0,rule,human,0.5938582914336401,ml,0.2514360613875722,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
24,REALLLY LOVED @JetBlue until today. Iï¸ could have drove to Vegas for as long as my flight has been delayed,flight_delay,1.0,rule,human,0.6190062708229198,ml,1.0000000000000002,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
25,excited to watch the dolphins game on my flight home but of course the TVs cant connect to the satellites #thanksfornothing,inflight_services,1.0,rule,human,0.5979623891206128,ml,1.0,human_review,Conversation requires human assistance.,I'm sorry you're experiencing this issue. I'm escalating your request to a human support agent who can investigate it and assist you further.
26,is it possible to status match from UA plat?,loyalty_rewards,0.5934108790117547,ml,auto,0.6160590996336734,ml,1.0,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,You can earn and use loyalty points according to the airline's loyalty program rules.
27,"Shoutout to Lance @JetBlue #gateA5 #flt598 #SEAtoBOS for keeping us informed during the delay, and a little entertained #muchappreciated",flight_delay,1.0,rule,auto,0.6047844642310286,ml,1.0000000000000007,auto,Intent and escalation predictions are confident enough and a similar historical response exists.,I'm sorry for the delay. Please check the latest flight status for the most up-to-date information.
